Element Label,S11,S22,S33,S12,S13,S23,Mises
1,47918.652,48622.082,49611.6,51.087444,-2812.277,158.35472,5097.03662109375
2,-126570.12,-135218.77,-139762.6,-1979.2024,961.6213,-9551.724,20566.37109375
3,44294.176,47940.723,50593.867,3061.921,-658.6602,2745.11,9057.912109375
4,-520472.75,-521255.1,-519687.25,707.8757,-230.87234,407.07864,2000.97778320313
5,27211.797,26251.82,27091.748,740.078,714.6082,-51.82355,2000.97998046875
6,-253147.05,-249771.39,-249698.39,-11495.227,-6353.199,-2667.0566,23462.662109375
7,21470.057,21628.709,20223.877,399.45596,576.76624,500.47513,2000.9853515625
8,155816.53,154171.5,156214.62,-365.3885,28.029541,-164.96785,2001.00207519531
9,148092.73,146306.78,146071.14,-78.25409,205.06186,253.9043,2000.98046875
10,48157.25,48331.58,46605.05,570.6497,-322.74164,-37.678703,2000.9931640625
11,65109.305,69966.91,86456.32,-2353.9736,1578.3029,-6004.44,22535.5859375
12,73814.53,74086.016,74309.734,221.75862,1104.8628,-57.04165,2000.98645019531
13,227034.88,228158.23,228954.7,-217.35411,-433.1621,411.60974,2000.9755859375
14,295230.44,295421.12,295980.84,-1004.6142,-412.7374,-54.52766,2001.02563476563
15,64764.977,65470.086,64048.395,154.35078,-666.9919,-600.74426,2001.18103027344
16,61303.88,76647.76,49015.133,2008.7532,-582.8533,9105.075,28928.12890625
17,3021.8416,8304.33,7150.6646,7462.6377,2903.75,6503.5806,18504.033203125
18,33868.008,33634.43,32493.908,-175.35527,655.08014,-578.05444,2000.95666503906
19,116060.305,116014.8,116151.69,-949.1457,341.70947,-555.0597,1997.94470214844
20,55984.285,56280.23,55390.367,783.3039,-321.22784,-642.2427,2000.94311523438
21,36555.93,36528.82,36860.453,-894.93176,-692.3265,143.2491,2000.98522949219
22,4502.7573,2971.9526,4647.763,-413.0316,54.83164,546.72644,2000.97473144531
23,29532.95,30266.162,30533.336,-539.1428,-448.12085,-758.20276,2000.98840332031
24,13003.98,13458.933,13463.758,965.28125,-549.7337,-175.9344,2000.99572753906
25,-76221.92,-75990.516,-75339.195,-999.0907,-186.91261,-303.3743,2000.9873046875
26,-50700.992,-52006.383,-51247.7,248.10695,554.9346,-731.829,2001.12878417969
27,-58501.336,-57711.418,-56682.004,-459.8949,-536.3775,-56.270245,2000.98168945313
28,31809.648,32523.041,32598.586,507.8769,725.8258,-600.31,2000.98266601563
29,26606.781,27493.914,28819.41,-247.20212,-180.21669,33.415646,2000.986328125
30,-25950.787,-25583.559,-24186.006,605.0156,-309.7836,-74.576126,2000.98620605469
31,139013.27,138658.75,139782.14,75.889984,-530.4582,847.15674,2000.9716796875
32,33082.63,34006.383,33773.62,-82.34803,-859.0149,599.29,2000.99816894531
33,112664.27,113398.31,113150.18,-952.0876,506.26883,-180.10287,2000.97265625
34,33543.22,32992.844,32846.016,998.36194,369.87305,-256.90594,2000.97009277344
35,21813.955,20349.951,21386.49,-507.82272,265.4746,-662.96814,2000.97119140625
36,-242122.39,-241522.8,-241329.7,318.96863,-951.99854,394.64267,2000.982421875
37,1246.505,591.3198,965.0671,88.986015,-27.92246,1103.519,2000.859375
38,44650.6,44233.082,44815.91,448.82867,605.3897,-822.46826,2000.96557617188
39,28740.018,27805.207,28225.537,173.14444,861.24585,586.3822,2001.080078125
40,18514.982,18817.195,19288.299,125.88881,-1059.2428,211.63579,2000.88562011719
41,-80387.06,-81053.33,-81151.39,279.67352,1039.5826,52.224068,2000.97277832031
42,62740.707,63877.895,63519.57,-972.15845,72.03498,215.22905,2000.98071289063
43,57444.477,59193.24,58871.824,-122.05214,144.66525,657.5419,2000.98876953125
44,17458.441,15306.968,17101.611,-43.98814,-5.6717143,56.414288,2000.97607421875
45,395471.7,394116.78,394278.38,711.0067,299.99957,444.69598,2005.69030761719
46,53471.98,54689.81,54698.61,-628.26196,-586.3421,-269.62372,1981.79772949219
47,558830.2,560216.94,559262.7,83.06885,-778.5391,461.19763,1996.88330078125
48,585884.0,586670.3,586772.56,814.5492,71.89303,655.2777,2000.82153320313
49,101880.59,103522.59,102883.98,354.4136,-28.75076,-723.25775,2000.99938964844
50,-426407.1,-427954.75,-426856.22,-669.57214,114.11937,-488.3155,2000.31701660156
51,212548.45,213093.78,212944.73,1070.2471,328.36935,-46.784126,2001.162109375
52,133942.7,135172.56,134800.77,373.29126,750.00684,-484.71832,2000.98840332031
53,146670.0,147484.12,147207.17,877.2495,362.65915,-512.0852,2000.99645996094
54,42012.11,40345.227,42056.54,12.219095,-35.523594,617.85114,2000.99609375
55,22108.633,20904.654,20868.145,-442.6935,-176.28601,780.67944,2001.09924316406
56,12262.688,12254.026,12565.806,53.293083,-988.1472,569.09406,2001.00219726563
57,18143.879,19567.383,19310.664,333.68332,735.79425,326.02847,2000.98083496094
58,27394.107,25141.674,26277.998,108.46323,226.0468,-60.092518,2001.15283203125
59,59265.844,59783.742,58942.46,1019.42163,284.08292,-186.13295,2000.9951171875
60,52803.336,54612.574,53736.06,-512.85315,201.9895,-460.68994,2000.98901367188
61,108183.82,109200.945,108559.305,925.8561,-178.9307,-425.30014,2000.98352050781
62,22310.922,20316.982,21105.867,-139.62039,289.3534,-472.27924,2000.98620605469
63,7977.54,7226.7637,6991.534,12.873605,770.43475,-689.72003,2000.9873046875
